"date","year","month","kms","PetrolPrice","law","type","kill_injure"
1971-07-01,1971,7,16055,0.0929540494377308,0,"front",1097
1971-08-01,1971,8,15220,0.0928397862431927,0,"front",1194
1971-09-01,1971,9,13824,0.0927247362539862,0,"front",988
1971-10-01,1971,10,12729,0.0922696509793897,0,"front",1077
1971-11-01,1971,11,11467,0.0917066851479679,0,"front",1045
1971-12-01,1971,12,11351,0.0912620719433678,0,"front",1115
1972-01-01,1972,1,10803,0.090711603254936,0,"front",1005
1972-02-01,1972,2,10548,0.090276328119195,0,"front",857
1972-03-01,1972,3,12368,0.0899519176272147,0,"front",879
1972-04-01,1972,4,13311,0.0890996386561615,0,"front",887
1972-05-01,1972,5,13885,0.0886791925043499,0,"front",1075
1972-06-01,1972,6,14088,0.0881592888670634,0,"front",1121
1972-07-01,1972,7,16932,0.0889020568552906,0,"front",1190
1972-08-01,1972,8,16164,0.0881813314444876,0,"front",1058
1972-09-01,1972,9,14883,0.0889402929599117,0,"front",939
1972-10-01,1972,10,13532,0.0877266104275971,0,"front",1074
1972-11-01,1972,11,12220,0.087428846437772,0,"front",1089
1972-12-01,1972,12,12025,0.0870354301608856,0,"front",1208
1973-01-01,1973,1,11692,0.0864499193294655,0,"front",903
1973-02-01,1973,2,11081,0.0858726409121568,0,"front",916
1973-03-01,1973,3,13745,0.0853982218357345,0,"front",787
1973-04-01,1973,4,14382,0.083821981233605,0,"front",1114
1973-05-01,1973,5,14391,0.0845907801489325,0,"front",1014
1973-06-01,1973,6,15597,0.0841369037739444,0,"front",1022
1973-07-01,1973,7,16834,0.0837784051341314,0,"front",1114
1973-08-01,1973,8,17282,0.0835107427259604,0,"front",1132
1973-09-01,1973,9,15779,0.0828063938633846,0,"front",1111
1973-10-01,1973,10,13946,0.0811788933269884,0,"front",1008
1973-11-01,1973,11,12701,0.0828536069623417,0,"front",916
1973-12-01,1973,12,10431,0.0941901186933595,0,"front",992
1974-01-01,1974,1,11616,0.0923998429510411,0,"front",731
1974-02-01,1974,2,10808,0.108161478199019,0,"front",665
1974-03-01,1974,3,12421,0.10721168869023,0,"front",724
1974-04-01,1974,4,13605,0.114042966782082,0,"front",744
1974-05-01,1974,5,14455,0.112454115810183,0,"front",910
1974-06-01,1974,6,15019,0.111316253290611,0,"front",883
1974-07-01,1974,7,15662,0.11030125221242,0,"front",900
1974-08-01,1974,8,16745,0.108197177376865,0,"front",1057
1974-09-01,1974,9,14717,0.107027443082328,0,"front",1076
1974-10-01,1974,10,13756,0.104946980916917,0,"front",919
1974-11-01,1974,11,12531,0.119357749193208,0,"front",920
1974-12-01,1974,12,12568,0.117621904277373,0,"front",953
1975-01-01,1975,1,11249,0.133027420877451,0,"front",664
1975-02-01,1975,2,11096,0.130845243689729,0,"front",607
1975-03-01,1975,3,12637,0.128318477474772,0,"front",777
1975-04-01,1975,4,13018,0.123547448292297,0,"front",633
1975-05-01,1975,5,15005,0.118586811514179,0,"front",791
1975-06-01,1975,6,15235,0.116337480161004,0,"front",790
1975-07-01,1975,7,15552,0.11516147558196,0,"front",803
1975-08-01,1975,8,16905,0.114501197216867,0,"front",884
1975-09-01,1975,9,14776,0.113522979499817,0,"front",769
1975-10-01,1975,10,14104,0.111930179432996,0,"front",732
1975-11-01,1975,11,12854,0.110610528503361,0,"front",859
1975-12-01,1975,12,12956,0.11527438914664,0,"front",994
1976-01-01,1976,1,12177,0.113793485966034,0,"front",704
1976-02-01,1976,2,11918,0.112349582098189,0,"front",684
1976-03-01,1976,3,13517,0.111753469387189,0,"front",671
1976-04-01,1976,4,14417,0.109642522576533,0,"front",643
1976-05-01,1976,5,15911,0.10844089510559,0,"front",771
1976-06-01,1976,6,15589,0.107884938936114,0,"front",644
1976-07-01,1976,7,16543,0.109084769191454,0,"front",828
1976-08-01,1976,8,17925,0.107571450111271,0,"front",748
1976-09-01,1976,9,15406,0.106164022368002,0,"front",767
1976-10-01,1976,10,14601,0.106299999323319,0,"front",825
1976-11-01,1976,11,13107,0.104825313000088,0,"front",810
1976-12-01,1976,12,12268,0.103451745711815,0,"front",986
1977-01-01,1977,1,11972,0.101449920129493,0,"front",714
1977-02-01,1977,2,12028,0.100402316427863,0,"front",567
1977-03-01,1977,3,14033,0.098862033680192,0,"front",616
1977-04-01,1977,4,14244,0.102496154313521,0,"front",678
1977-05-01,1977,5,15287,0.103027431599736,0,"front",742
1977-06-01,1977,6,16954,0.102178908220655,0,"front",840
1977-07-01,1977,7,17361,0.0998366428726473,0,"front",888
1977-08-01,1977,8,17694,0.0926366895833353,0,"front",852
1977-09-01,1977,9,16222,0.0918149629077569,0,"front",774
1977-10-01,1977,10,14969,0.090724303768407,0,"front",831
1977-11-01,1977,11,13624,0.0900212072768793,0,"front",889
1977-12-01,1977,12,13842,0.0893307058230937,0,"front",1046
1978-01-01,1978,1,12387,0.0884427348717763,0,"front",889
1978-02-01,1978,2,11608,0.0883525692744791,0,"front",626
1978-03-01,1978,3,15021,0.0867573619308237,0,"front",808
1978-04-01,1978,4,14834,0.0849952420449752,0,"front",746
1978-05-01,1978,5,16565,0.0845679437213488,0,"front",754
1978-06-01,1978,6,16882,0.0844318988774436,0,"front",865
1978-07-01,1978,7,18012,0.0843508831482932,0,"front",980
1978-08-01,1978,8,18855,0.0836009830491076,0,"front",959
1978-09-01,1978,9,17243,0.0834172630524962,0,"front",856
1978-10-01,1978,10,16045,0.0827451397987249,0,"front",798
1978-11-01,1978,11,14745,0.0852352669035281,0,"front",942
1978-12-01,1978,12,13726,0.0847703028296526,0,"front",1010
1979-01-01,1979,1,11196,0.0844589214084587,0,"front",796
1979-02-01,1979,2,12105,0.085352119244763,0,"front",643
1979-03-01,1979,3,14723,0.0875592125175749,0,"front",794
1979-04-01,1979,4,15582,0.0903829170614837,0,"front",750
1979-05-01,1979,5,16863,0.0907832937355188,0,"front",809
1979-06-01,1979,6,16758,0.108742780219868,0,"front",716
1979-07-01,1979,7,17434,0.114142227335262,0,"front",851
1979-08-01,1979,8,18359,0.112992933231466,0,"front",931
1979-09-01,1979,9,17189,0.111320706029796,0,"front",834
1979-10-01,1979,10,16909,0.109126229280665,0,"front",762
1979-11-01,1979,11,15380,0.107698459343112,0,"front",880
1979-12-01,1979,12,15161,0.107601574334496,0,"front",1077
1980-01-01,1980,1,14027,0.103775019202843,0,"front",748
1980-02-01,1980,2,14478,0.107114170431059,0,"front",593
1980-03-01,1980,3,16155,0.107374774370757,0,"front",720
1980-04-01,1980,4,16585,0.111695372689559,0,"front",646
1980-05-01,1980,5,18117,0.110638184592354,0,"front",765
1980-06-01,1980,6,17552,0.111855211329895,0,"front",820
1980-07-01,1980,7,18299,0.109742342683337,0,"front",807
1980-08-01,1980,8,19361,0.108193931510232,0,"front",885
1980-09-01,1980,9,17924,0.106255362697951,0,"front",803
1980-10-01,1980,10,17872,0.104193034427699,0,"front",860
1980-11-01,1980,11,16058,0.101933972880902,0,"front",825
1980-12-01,1980,12,15746,0.102793824574291,0,"front",911
1981-01-01,1981,1,15226,0.10476034144929,0,"front",704
1981-02-01,1981,2,14932,0.104002535534347,0,"front",691
1981-03-01,1981,3,16846,0.116655515402424,0,"front",688
1981-04-01,1981,4,16854,0.11516147558196,0,"front",714
1981-05-01,1981,5,18146,0.112989543494316,0,"front",814
1981-06-01,1981,6,17559,0.113860643932406,0,"front",736
1981-07-01,1981,7,18655,0.119118081064489,0,"front",876
1981-08-01,1981,8,19453,0.124489986005886,0,"front",829
1981-09-01,1981,9,17923,0.123222945411622,0,"front",818
1981-10-01,1981,10,17915,0.12067793212866,0,"front",942
1981-11-01,1981,11,16496,0.121048982651421,0,"front",782
1981-12-01,1981,12,13544,0.116968571491487,0,"front",823
1982-01-01,1982,1,13601,0.112750259392875,0,"front",595
1982-02-01,1982,2,15667,0.108079306704711,0,"front",673
1982-03-01,1982,3,17358,0.108838515984019,0,"front",660
1982-04-01,1982,4,18112,0.111291766408542,0,"front",676
1982-05-01,1982,5,18581,0.111304009176187,0,"front",755
1982-06-01,1982,6,18759,0.115454357532553,0,"front",815
1982-07-01,1982,7,20668,0.114768296055692,0,"front",867
1982-08-01,1982,8,21040,0.117207430931122,0,"front",933
1982-09-01,1982,9,18993,0.119076397031248,0,"front",798
1982-10-01,1982,10,18668,0.117965862171995,0,"front",950
1982-11-01,1982,11,16768,0.117449127100423,0,"front",825
1982-12-01,1982,12,16551,0.116988457838933,0,"front",911
1983-01-01,1983,1,16231,0.11261053571781,0,"front",619
1983-02-01,1983,2,15511,0.113657015681422,1,"front",426
1983-03-01,1983,3,18308,0.113144445252379,1,"front",475
1983-04-01,1983,4,17793,0.118495534815352,1,"front",556
1983-05-01,1983,5,19205,0.117969401200945,1,"front",559
1983-06-01,1983,6,19162,0.1176866141183,1,"front",483
1983-07-01,1983,7,20997,0.120059238961094,1,"front",587
1983-08-01,1983,8,20705,0.119437745680998,1,"front",615
1983-09-01,1983,9,18759,0.118881271786551,1,"front",618
1983-10-01,1983,10,19240,0.118462360710195,1,"front",662
1983-11-01,1983,11,17504,0.118016598400236,1,"front",519
1983-12-01,1983,12,16591,0.117706622543368,1,"front",585
1984-01-01,1984,1,16224,0.117776089941536,1,"front",483
1984-02-01,1984,2,16670,0.114796991716514,1,"front",434
1984-03-01,1984,3,18539,0.11573525277085,1,"front",513
1984-04-01,1984,4,19759,0.115356263024722,1,"front",548
1984-05-01,1984,5,19584,0.114815360704668,1,"front",586
1984-06-01,1984,6,19976,0.114777477886645,1,"front",522
1984-07-01,1984,7,21486,0.114935980147534,1,"front",601
1984-08-01,1984,8,21626,0.114796991716514,1,"front",644
1984-09-01,1984,9,20195,0.114093156728444,1,"front",643
1984-10-01,1984,10,19928,0.116465521799171,1,"front",641
1984-11-01,1984,11,18564,0.116026113132354,1,"front",711
1984-12-01,1984,12,18149,0.116066729379379,1,"front",721
1969-01-01,1969,1,9059,0.102971811805368,0,"rear",269
1969-02-01,1969,2,7685,0.102362995884646,0,"rear",265
1969-03-01,1969,3,9963,0.102062490635914,0,"rear",319
1969-04-01,1969,4,10955,0.100873300511862,0,"rear",407
1969-05-01,1969,5,11823,0.101019672891934,0,"rear",454
1969-06-01,1969,6,12391,0.10058119170287,0,"rear",427
1969-07-01,1969,7,13460,0.103773981457839,0,"rear",522
1969-08-01,1969,8,14055,0.104076403554621,0,"rear",536
1969-09-01,1969,9,12106,0.103773981457839,0,"rear",405
1969-10-01,1969,10,11372,0.103026401330572,0,"rear",437
1969-11-01,1969,11,9834,0.102730112155946,0,"rear",434
1969-12-01,1969,12,9267,0.101997191539847,0,"rear",437
1970-01-01,1970,1,9130,0.101274563494893,0,"rear",316
1970-02-01,1970,2,8933,0.10070397563972,0,"rear",311
1970-03-01,1970,3,11000,0.100139606658898,0,"rear",351
1970-04-01,1970,4,10733,0.0986211043713023,0,"rear",362
1970-05-01,1970,5,12912,0.0983492854059603,0,"rear",486
1970-06-01,1970,6,12926,0.0980801772105387,0,"rear",429
1970-07-01,1970,7,13990,0.0972792082183714,0,"rear",551
1970-08-01,1970,8,14926,0.0974106238350488,0,"rear",646
1970-09-01,1970,9,12900,0.0974252365245483,0,"rear",456
1970-10-01,1970,10,12034,0.0963806330037465,0,"rear",475
1970-11-01,1970,11,10643,0.0957389559626943,0,"rear",456
1970-12-01,1970,12,10742,0.0951063062359475,0,"rear",468
1971-01-01,1971,1,10266,0.0967359671470176,0,"rear",356
1971-02-01,1971,2,10281,0.0961092224873678,0,"rear",271
1971-03-01,1971,3,11527,0.095367254851379,0,"rear",354
1971-04-01,1971,4,12281,0.0947095915871269,0,"rear",427
1971-05-01,1971,5,13587,0.0941176202174608,0,"rear",465
1971-06-01,1971,6,13049,0.0935321548190638,0,"rear",440
1971-07-01,1971,7,16055,0.0929540494377308,0,"rear",539
1971-08-01,1971,8,15220,0.0928397862431927,0,"rear",646
1971-09-01,1971,9,13824,0.0927247362539862,0,"rear",457
1971-10-01,1971,10,12729,0.0922696509793897,0,"rear",446
1971-11-01,1971,11,11467,0.0917066851479679,0,"rear",402
1971-12-01,1971,12,11351,0.0912620719433678,0,"rear",441
1972-01-01,1972,1,10803,0.090711603254936,0,"rear",359
1972-02-01,1972,2,10548,0.090276328119195,0,"rear",334
1972-03-01,1972,3,12368,0.0899519176272147,0,"rear",312
1972-04-01,1972,4,13311,0.0890996386561615,0,"rear",427
1972-05-01,1972,5,13885,0.0886791925043499,0,"rear",434
1972-06-01,1972,6,14088,0.0881592888670634,0,"rear",486
1972-07-01,1972,7,16932,0.0889020568552906,0,"rear",569
1972-08-01,1972,8,16164,0.0881813314444876,0,"rear",523
1972-09-01,1972,9,14883,0.0889402929599117,0,"rear",418
1972-10-01,1972,10,13532,0.0877266104275971,0,"rear",452
1972-11-01,1972,11,12220,0.087428846437772,0,"rear",462
1972-12-01,1972,12,12025,0.0870354301608856,0,"rear",497
1973-01-01,1973,1,11692,0.0864499193294655,0,"rear",354
1973-02-01,1973,2,11081,0.0858726409121568,0,"rear",347
1973-03-01,1973,3,13745,0.0853982218357345,0,"rear",276
1973-04-01,1973,4,14382,0.083821981233605,0,"rear",472
1973-05-01,1973,5,14391,0.0845907801489325,0,"rear",487
